Card,ASP,Type,Comm Spot,Comm OnDemand,Sec Spot,Sec OnDemand,PCIe,NVIDIA CUDA Cores,Boost Clock,Base Clock,Standard Memory Config,Memory Bandwidth (GB/s),Idle Power,Power,FP32 TFLOP calc,$/TFLOP,TFLOP/W
AMD Instinct MI300X OAM,"$18,000",Data Center,$0.00,$0.00,$1.49,$2.49,OAM Module,19456,2.1,0,192 HBM3,5300,65,750,81.72,$220,0.1090
NVIDIA A100 80GB PCIe,"$11,000",Data Center,$0.60,$1.19,$0.82,$1.64,4,6912,1.41,0,80 HBM2e,2039,25,300,19.49,$564,0.0650
NVIDIA A100-SXM4-80GB,"$12,000",Data Center,,,$0.95,$1.89,SXM4,6912,1.41,1.095,80 HBM2e,2039,40,400,19.49,$616,0.0487
NVIDIA B200 SXM,"$40,000",Data Center,,,$2.50,$5.00,SXM4,16896,1.83,1.65,192 HBM3e,8000,70,1000,61.84,$647,0.0618
NVIDIA L40,"$5,000",Data Center,,,$0.50,$0.99,4,18176,2.475,0,48 GDDR6 w/ ECC,864,10,300,89.97,$56,0.2999
NVIDIA RTX 2000 Ada,$625,Workstation,,,$0.14,$0.28,4,2816,2.085,0,16 GDDR6,224,10,70,11.74,$53,0.1678
NVIDIA RTX A4500,"$1,500",Workstation,$0.10,$0.19,$0.18,$0.34,4,7168,1.875,1.365,20 GDDR6,640,15,200,26.88,$56,0.1344
NVIDIA A30,"$2,500",Data Center,$0.11,$0.22,,,4,3584,1.44,0.93,24 HBM2,933,20,165,10.32,$242,0.0626
NVIDIA GeForce RTX 3070,$400,Consumer,$0.07,$0.13,,,4,5888,1.73,1.5,8 GDDR6,448,15,220,20.37,$20,0.0926
NVIDIA GeForce RTX 3080 (10GB),$600,Consumer,$0.09,$0.17,,,4,8704,1.71,1.44,10 GDDR6X,760,20,320,29.77,$20,0.0930
NVIDIA GeForce RTX 4070 Ti,$800,Consumer,$0.10,$0.19,,,4,7680,2.61,2.31,12 GDDR6X,504,15,285,40.09,$20,0.1407
NVIDIA GeForce RTX 4080 SUPER,$999,Consumer,$0.17,$0.28,,,4,10240,2.55,2.295,16 GDDR6X,736,17,320,52.22,$19,0.1632
NVIDIA GeForce RTX 5080,"$1,200",Consumer,$0.25,$0.49,,,5,12288,2.7,0,20 GDDR7,1120,18,350,66.36,$18,0.1896
NVIDIA RTX 4000 SFF Ada,"$1,250",Workstation,$0.09,$0.18,,,4,6144,1.56,0,20 GDDR6,320,10,70,19.17,$65,0.2738
NVIDIA RTX 5000 Ada,"$4,000",Workstation,$0.25,$0.49,,,4,12800,2.55,1.815,32 GDDR6,576,15,250,65.28,$61,0.2611
Tesla V100-FHHL-16GB,$500,Data Center,$0.10,$0.19,,,3,5120,1.38,1.23,16 HBM2,900,18,250,14.13,$35,0.0565
Tesla V100-PCIE-16GB,$500,Data Center,$0.10,$0.19,,,3,5120,1.38,1.23,16 HBM2,900,18,250,14.13,$35,0.0565
Tesla V100-SXM2-16GB,$600,Data Center,$0.12,$0.23,,,SXM2,5120,1.53,1.312,16 HBM2,900,30,300,15.67,$38,0.0522
Tesla V100-SXM2-32GB,"$1,000",Data Center,$0.17,$0.33,,,SXM2,5120,1.53,1.312,32 HBM2,900,30,300,15.67,$64,0.0522
